TradeID=3750570;AccountID=244559;AccountName=00244559;OfferID=10;Instrument=EUR/JPY;Lot=10000;AmountK=10;BS=N;Open=131.168;Close=131.258;Stop=0;UntTrlMove=0;Limit=0;PL=-9;GrossPL=-10.32;Com=1;Int=0;Time=2009-12-02 18:36:43;IsBuy=N;Kind=32;QuoteID=14676634.0;OpenOrderID=7927485;OpenOrderReqID=U100D6_auc0VZTjSMkDlwYEW2rquDZEFlQQbsL7s4WF2gvoVSYzmrBPH0L13UPBx-369;QTXT=046|29;
TradeID=3750593;AccountID=244559;AccountName=00244559;OfferID=10;Instrument=EUR/JPY;Lot=30000;AmountK=30;BS=N;Open=131.456;Close=131.478;Stop=0;UntTrlMove=0;Limit=0;PL=-2.2;GrossPL=-7.55;Com=3;Int=0;Time=2009-12-02 19:38:39;IsBuy=N;Kind=32;QuoteID=14903972.0;OpenOrderID=7927625;OpenOrderReqID=U100D6_auc0VZTjSMkDlwYEW2rquDZEFlQQbsL7s4WF2gvoVSYzmrBPH0L13UPBx-4901;QTXT=201|45.6;
TradeID=3750610;AccountID=244559;AccountName=00244559;OfferID=10;Instrument=EUR/JPY;Lot=10000;AmountK=10;BS=N;Open=131.483;Close=131.83899;Stop=0;UntTrlMove=0;Limit=0;PL=-35.6;GrossPL=-40.74;Com=1;Int=0;Time=2009-12-02 20:21:46;IsBuy=N;Kind=32;QuoteID=15029799.0;OpenOrderID=7927642;OpenOrderReqID=U100D6_2BsqK2h6T5HbOtZG2EuI2eclTx2wdA4j6AZNBqzvwUe2Q9xDK9WTt2Rgv-1171;QTXT=058|17.6;
TradeID=3750819;AccountID=244559;AccountName=00244559;OfferID=10;Instrument=EUR/JPY;Lot=100000;AmountK=100;BS=N;Open=132.46;Close=132.54799;Stop=0;UntTrlMove=0;Limit=0;PL=-8.8;GrossPL=-100.69;Com=10;Int=0;Time=2009-12-03 01:55:46;IsBuy=N;Kind=32;QuoteID=15676926.0;OpenOrderID=7928140;OpenOrderReqID=U100D6_Eo1U6TqNGQfohU4da6X2ZR2MDtcM1UuX6yRchdyqCXSmFHPkL1F3RUv1U-15006;QTXT=070|22.7;
TradeID=3750797;AccountID=244559;AccountName=00244559;OfferID=10;Instrument=EUR/JPY;Lot=60000;AmountK=60;BS=N;Open=132.328;Close=132.429;Stop=0;UntTrlMove=0;Limit=0;PL=-10.1;GrossPL=-69.35;Com=6;Int=0;Time=2009-12-03 00:55:18;IsBuy=N;Kind=32;QuoteID=15554370.0;OpenOrderID=7928016;OpenOrderReqID=U100D6_Eo1U6TqNGQfohU4da6X2ZR2MDtcM1UuX6yRchdyqCXSmFHPkL1F3RUv1U-10730;QTXT=051|30.5;
TradeID=3750957;AccountID=244559;AccountName=00244559;OfferID=10;Instrument=EUR/JPY;Lot=30000;AmountK=30;BS=N;Open=132.433;Close=132.566;Stop=0;UntTrlMove=0;Limit=0;PL=-13.3;GrossPL=-45.45;Com=3;Int=0;Time=2009-12-03 04:14:19;IsBuy=N;Kind=32;QuoteID=15892973.0;OpenOrderID=7928179;OpenOrderReqID=U100D6_Eo1U6TqNGQfohU4da6X2ZR2MDtcM1UuX6yRchdyqCXSmFHPkL1F3RUv1U-23367;QTXT=078|18.3;
TradeID=3750955;AccountID=244559;AccountName=00244559;OfferID=10;Instrument=EUR/JPY;Lot=10000;AmountK=10;BS=N;Open=132.547;Close=132.566;Stop=0;UntTrlMove=0;Limit=0;PL=-1.9;GrossPL=-2.16;Com=1;Int=0;Time=2009-12-03 03:40:14;IsBuy=N;Kind=32;QuoteID=15851092.0;OpenOrderID=7928176;OpenOrderReqID=U100D6_Eo1U6TqNGQfohU4da6X2ZR2MDtcM1UuX6yRchdyqCXSmFHPkL1F3RUv1U-21635;QTXT=163|49.1;
TradeID=3750999;AccountID=244559;AccountName=00244559;OfferID=10;Instrument=EUR/JPY;Lot=60000;AmountK=60;BS=N;Open=132.553;Close=132.672;Stop=0;UntTrlMove=0;Limit=0;PL=-11.9;GrossPL=-81.33;Com=6;Int=0;Time=2009-12-03 05:48:14;IsBuy=N;Kind=32;QuoteID=3.47330008595E11;OpenOrderID=7928302;OpenOrderReqID=U100D6_B8B5CDotUYmHZfZhALKArskYL0aO5UG3mzNTNKeJQ8EZ3YhRXUJWIC0me-4774;QTXT=166|32.6;
TradeID=3750669;AccountID=244559;AccountName=00244559;OfferID=10;Instrument=EUR/JPY;Lot=30000;AmountK=30;BS=N;Open=131.814;Close=132.502;Stop=0;UntTrlMove=0;Limit=0;PL=-68.8;GrossPL=-235.12;Com=3;Int=0;Time=2009-12-02 22:53:33;IsBuy=N;Kind=32;QuoteID=019022180000191202225333649-B0;OpenOrderID=7927706;OpenOrderReqID=U100D6_Eo1U6TqNGQfohU4da6X2ZR2MDtcM1UuX6yRchdyqCXSmFHPkL1F3RUv1U-2158;QTXT=354|49.2;
TradeID=3751056;AccountID=244559;AccountName=00244559;OfferID=10;Instrument=EUR/JPY;Lot=30000;AmountK=30;BS=N;Open=132.503;Close=132.63201;Stop=0;UntTrlMove=0;Limit=0;PL=-12.9;GrossPL=-44.09;Com=3;Int=0;Time=2009-12-03 08:08:27;IsBuy=N;Kind=32;QuoteID=16561832.0;OpenOrderID=7928478;OpenOrderReqID=U100D6_B8B5CDotUYmHZfZhALKArskYL0aO5UG3mzNTNKeJQ8EZ3YhRXUJWIC0me-16154;QTXT=047|21.2;
TradeID=3751039;AccountID=244559;AccountName=00244559;OfferID=10;Instrument=EUR/JPY;Lot=10000;AmountK=10;BS=N;Open=132.672;Close=132.631;Stop=0;UntTrlMove=0;Limit=0;PL=4.1;GrossPL=4.67;Com=1;Int=0;Time=2009-12-03 07:58:04;IsBuy=N;Kind=32;QuoteID=16483247.0;OpenOrderID=7928352;OpenOrderReqID=U100D6_B8B5CDotUYmHZfZhALKArskYL0aO5UG3mzNTNKeJQ8EZ3YhRXUJWIC0me-15094;QTXT=061|41.1;
